f,d,k,latency,latitude,longitude,pr_interval
1,1,1,500,51.509865,-0.118092,3
2,1,2,200,36.7783,-119.4179,1
3,2,1,50,48.8566,2.3522,3
1,1,2,200,-33.8688197,151.2092955,3
2,1,1,200,59.3293235,18.0685808,12
2,1,1,100,41.9027835,12.4963655,6
2,3,1,50,-37.8136,144.9631,1
1,1,3,500,48.8566,2.3522,3
1,1,2,100,35.689487,139.691711,6
3,1,1,200,30.4383,-84.2807,1
3,1,2,200,19.4326077,-99.133208,1
1,2,2,1000,-33.8688197,151.2092955,1
1,1,1,200,-1.2921,36.8219,6
2,1,3,200,41.9027835,12.4963655,3
1,1,2,200,29.7604,-95.3698,12
2,3,1,200,55.7558,37.6176,3
1,1,1,200,41.9027835,12.4963655,1
2,1,1,100,41.8781,-87.6298,6
2,3,3,1000,45.4215,-75.6910,3
1,1,2,1000,40.712776,-74.005974,24
3,3,1,50,-33.8688197,151.2092955,3
1,2,2,1000,30.2672,-97.7431,6
2,3,1,1000,35.689487,139.691711,24
2,2,3,1000,42.3601,-71.0589,3
1,1,1,1000,55.6760968,12.5683372,24
1,1,1,200,-33.9248685,18.4240553,12
2,1,3,100,42.3601,-71.0589,1
3,2,1,200,34.7465,-92.2896,1
2,1,1,500,51.5074,-0.1278,6
1,2,2,1000,-6.2087634,106.845599,1
2,1,2,1000,-25.7461,28.1881,6
1,2,1,200,29.7604,-95.3698,12
1,1,1,500,35.2271,-80.8431,3
1,2,2,100,31.230416,121.473701,6
2,1,1,500,59.3293235,18.0685808,1
2,3,2,50,-6.2087634,106.845599,6
1,2,1,100,-33.8688197,151.2092955,6
1,2,2,500,38.9072,-77.0369,48
1,1,2,1000,-34.6036844,-58.3815591,6
3,1,1,200,48.8566,2.3522,3
2,2,1,50,-33.8688197,151.2092955,6
3,1,2,500,-12.0464,-77.0428,48
2,3,2,500,28.6139,77.2090,1
1,3,1,1000,35.2271,-80.8431,6
1,1,1,1000,39.9526,-75.1652,6
3,3,2,200,42.3601,-71.0589,3
1,2,3,200,19.4326077,-99.133208,6
1,1,2,50,33.7490,-84.3880,3
2,2,2,500,55.6760968,12.5683372,3
1,2,1,100,41.9027835,12.4963655,12
1,3,3,500,39.9612,-82.9988,1
1,2,2,50,33.4484,-112.0740,3
1,1,1,200,39.7684,-86.1581,1
2,1,1,200,51.5074,-0.1278,1
1,1,3,100,19.4326077,-99.133208,1
1,2,2,100,51.509865,-0.118092,12
2,1,2,100,48.8588443,2.2943506,3
2,1,1,200,33.7490,-84.3880,1
2,3,2,100,25.7617,-80.1918,3
1,1,3,50,42.3601,-71.0589,6
2,2,1,100,43.65107,-79.347015,1
3,3,1,50,-33.9248685,18.4240553,3
3,1,1,1000,29.7604,-95.3698,1
1,2,3,1000,-1.2921,36.8219,6
1,3,3,50,38.9072,-77.0369,3
1,3,2,100,34.7465,-92.2896,3
3,3,1,50,-34.6036844,-58.3815591,6
1,2,2,100,-1.2921,36.8219,24
1,1,2,500,31.230416,121.473701,1
3,2,1,100,-12.0464,-77.0428,1
1,2,3,100,48.8588443,2.2943506,6
2,1,2,1000,37.566535,126.9779692,3
3,1,1,200,55.7558,37.6176,3
2,3,2,200,36.7783,-119.4179,1
2,3,1,200,-33.9248685,18.4240553,48
1,3,2,500,51.5074,-0.1278,3
1,2,2,50,-33.9248685,18.4240553,1
1,1,2,200,-34.6036844,-58.3815591,3
3,2,1,500,41.8781,-87.6298,1
3,1,1,500,45.4215,-75.6910,6
1,2,2,500,-1.2921,36.8219,6
1,1,1,1000,37.566535,126.9779692,1
2,1,2,200,59.3293235,18.0685808,12
3,1,2,500,38.9072,-77.0369,3
2,1,1,500,-33.9248685,18.4240553,1
1,3,1,500,30.2672,-97.7431,1
1,2,1,100,-12.0464,-77.0428,3
1,2,2,100,51.5074,-0.1278,3
2,1,3,500,-22.906847,-43.172896,1
3,1,1,1000,-33.8688197,151.2092955,12
3,1,2,200,30.4383,-84.2807,1
1,1,2,100,55.6760968,12.5683372,3
1,1,1,100,34.7465,-92.2896,3
3,1,1,50,39.9612,-82.9988,1
1,2,2,500,40.712776,-74.005974,12
1,1,1,100,-12.0464,-77.0428,1
3,1,1,50,32.7157,-117.1611,1
3,2,1,200,-22.906847,-43.172896,24
1,1,2,500,51.509865,-0.118092,6
1,3,2,100,19.4326077,-99.133208,6
