latitude,longitude,city,country
48.8588443,2.2943506,Paris,France
51.509865,-0.118092,London,UK
40.712776,-74.005974,NewYorkCity,USA
35.689487,139.691711,Tokyo,Japan
-33.8688197,151.2092955,Sydney,Australia
-22.906847,-43.172896,RiodeJaneiro,Brazil
19.4326077,-99.133208,MexicoCity,Mexico
37.7749295,-122.4194155,SanFrancisco,USA
-6.2087634,106.845599,Jakarta,Indonesia
41.9027835,12.4963655,Rome,Italy
52.5200066,13.404954,Berlin,Germany
31.230416,121.473701,Shanghai,China
45.4642035,9.189982,Milan,Italy
37.566535,126.9779692,Seoul,SouthKorea
-33.9248685,18.4240553,CapeTown,SouthAfrica
-34.6036844,-58.3815591,BuenosAires,Argentina
59.3293235,18.0685808,Stockholm,Sweden
43.65107,-79.347015,Toronto,Canada
55.6760968,12.5683372,Copenhagen,Denmark
34.0522,-118.2437,LosAngeles,USA
41.8781,-87.6298,Chicago,USA
29.7604,-95.3698,Houston,USA
33.4484,-112.0740,Phoenix,USA
39.9526,-75.1652,Philadelphia,USA
32.7157,-117.1611,SanDiego,USA
47.6062,-122.3321,Seattle,USA
30.2672,-97.7431,Austin,USA
38.9072,-77.0369,WashingtonD.C.,USA
42.3601,-71.0589,Boston,USA
25.7617,-80.1918,Miami,USA
36.7783,-119.4179,Fresno,USA
39.7684,-86.1581,Indianapolis,USA
35.2271,-80.8431,Charlotte,USA
39.9612,-82.9988,Columbus,USA
30.4383,-84.2807,Tallahassee,USA
34.7465,-92.2896,LittleRock,USA
33.7490,-84.3880,Atlanta,USA
48.8566,2.3522,Paris,France
51.5074,-0.1278,London,UnitedKingdom
55.7558,37.6176,Moscow,Russia
-12.0464,-77.0428,Lima,Peru
-37.8136,144.9631,Melbourne,Australia
-25.7461,28.1881,Pretoria,SouthAfrica
-1.2921,36.8219,Nairobi,Kenya
28.6139,77.2090,NewDelhi,India
45.4215,-75.6910,Ottawa,Canada
