ID, region, state, latitude, longitude, servers
CO1, Columbus, Ohio, 39.983334, -82.983330, 30 
CO2, Columbus, Ohio, 39.983334, -82.983330, 30 
CO3, Columbus, Ohio, 39.983334, -82.983330, 30 
EO1, Eastern, Oregon, 45.849800, -119.691598, 30
EO2, Eastern, Oregon, 45.849800, -119.691598, 30 
EO3, Eastern, Oregon, 45.849800, -119.691598, 30 
EO4, Eastern, Oregon, 45.849800, -119.691598, 30  
SFC1, San Francisco, California, 37.756098, -122.448587, 30 
SFC2, San Francisco, California, 37.756098, -122.448587, 30 
SFC3, San Francisco, California, 37.756098, -122.448587, 30
V1, Multiple, Virginia, 38.949541, -77.401809, 30
V2, Multiple, Virginia, 38.949541, -77.401809, 30
V3, Multiple, Virginia, 38.949541, -77.401809, 30
V4, Multiple, Virginia, 38.949541, -77.401809, 30
V5, Multiple, Virginia, 38.949541, -77.401809, 30 
V6, Multiple, Virginia, 38.949541, -77.401809, 30
