algo_name,number_of_apps,Avg,Min,Max
sm1_round_robin_min_sites,3,3.0,3,3
sm1_closest_min_sites,3,3.0,3,3
sm1_best_lat_min_sites,3,3.0,3,3
sm1_round_robin_max_sites,3,3.0,3,3
sm1_closest_max_sites,3,3.0,3,3
sm1_best_lat_max_sites,3,3.0,3,3
sm1_closest_max_sites_meet_lat,3,3.0,3,3
sm1_best_lat_max_sites_meet_lat,3,3.0,3,3
sm1_milp_max_sites,3,3.0,3,3
sm1_round_robin_min_sites,5,5.0,5,5
sm1_closest_min_sites,5,5.0,5,5
sm1_best_lat_min_sites,5,5.0,5,5
sm1_round_robin_max_sites,5,5.0,5,5
sm1_closest_max_sites,5,5.0,5,5
sm1_best_lat_max_sites,5,5.0,5,5
sm1_closest_max_sites_meet_lat,5,4.9,4,5
sm1_best_lat_max_sites_meet_lat,5,5.0,5,5
sm1_milp_max_sites,5,5.0,5,5
sm1_round_robin_min_sites,7,7.0,7,7
sm1_closest_min_sites,7,7.0,7,7
sm1_best_lat_min_sites,7,7.0,7,7
sm1_round_robin_max_sites,7,7.0,7,7
sm1_closest_max_sites,7,7.0,7,7
sm1_best_lat_max_sites,7,7.0,7,7
sm1_closest_max_sites_meet_lat,7,7.0,7,7
sm1_best_lat_max_sites_meet_lat,7,7.0,7,7
sm1_milp_max_sites,7,7.0,7,7
sm1_round_robin_min_sites,9,9.0,9,9
sm1_closest_min_sites,9,9.0,9,9
sm1_best_lat_min_sites,9,9.0,9,9
sm1_round_robin_max_sites,9,9.0,9,9
sm1_closest_max_sites,9,9.0,9,9
sm1_best_lat_max_sites,9,9.0,9,9
sm1_closest_max_sites_meet_lat,9,8.9,8,9
sm1_best_lat_max_sites_meet_lat,9,9.0,9,9
sm1_milp_max_sites,9,9.0,9,9
sm1_round_robin_min_sites,11,11.0,11,11
sm1_closest_min_sites,11,11.0,11,11
sm1_best_lat_min_sites,11,11.0,11,11
sm1_round_robin_max_sites,11,0.0,0.0,0.0
sm1_closest_max_sites,11,0.0,0.0,0.0
sm1_best_lat_max_sites,11,0.0,0.0,0.0
sm1_closest_max_sites_meet_lat,11,10.9,10,11
sm1_best_lat_max_sites_meet_lat,11,11.0,11,11
sm1_milp_max_sites,11,11.0,11,11
sm1_round_robin_min_sites,13,13.0,13,13
sm1_closest_min_sites,13,13.0,13,13
sm1_best_lat_min_sites,13,13.0,13,13
sm1_round_robin_max_sites,13,13.0,13,13
sm1_closest_max_sites,13,13.0,13,13
sm1_best_lat_max_sites,13,13.0,13,13
sm1_closest_max_sites_meet_lat,13,12.8,12,13
sm1_best_lat_max_sites_meet_lat,13,12.9,12,13
sm1_milp_max_sites,13,12.9,12,13
sm1_round_robin_min_sites,15,15.0,15,15
sm1_closest_min_sites,15,15.0,15,15
sm1_best_lat_min_sites,15,15.0,15,15
sm1_round_robin_max_sites,15,15.0,15,15
sm1_closest_max_sites,15,15.0,15,15
sm1_best_lat_max_sites,15,15.0,15,15
sm1_closest_max_sites_meet_lat,15,14.7,13,15
sm1_best_lat_max_sites_meet_lat,15,15.0,15,15
sm1_milp_max_sites,15,15.0,15,15
sm1_round_robin_min_sites,20,20.0,20,20
sm1_closest_min_sites,20,20.0,20,20
sm1_best_lat_min_sites,20,20.0,20,20
sm1_round_robin_max_sites,20,0.0,0.0,0.0
sm1_closest_max_sites,20,0.0,0.0,0.0
sm1_best_lat_max_sites,20,0.0,0.0,0.0
sm1_closest_max_sites_meet_lat,20,19.6,19,20
sm1_best_lat_max_sites_meet_lat,20,19.9,19,20
sm1_milp_max_sites,20,19.9,19,20
sm1_round_robin_min_sites,30,30.0,30,30
sm1_closest_min_sites,30,30.0,30,30
sm1_best_lat_min_sites,30,30.0,30,30
sm1_round_robin_max_sites,30,0.0,0.0,0.0
sm1_closest_max_sites,30,0.0,0.0,0.0
sm1_best_lat_max_sites,30,0.0,0.0,0.0
sm1_closest_max_sites_meet_lat,30,29.7,28,30
sm1_best_lat_max_sites_meet_lat,30,29.9,29,30
sm1_milp_max_sites,30,29.9,29,30
