algo_name,number_of_apps,Avg,Min,Max
sm2_pr_closest_min_sites,3,104.3,75,134
sm2_pr_best_lat_min_sites,3,104.3,75,134
sm2_pr_closest_max_sites,3,51.6,43,63
sm2_pr_best_lat_max_sites,3,51.4,43,63
sm2_pr_milp_max_sites,3,46.7,36,61
sm2_pr_closest_min_sites,5,158.0,117,216
sm2_pr_best_lat_min_sites,5,163.17,117,216
sm2_pr_closest_max_sites,5,109.89,70,174
sm2_pr_best_lat_max_sites,5,112.1,70,174
sm2_pr_milp_max_sites,5,100.6,56,165
sm2_pr_closest_min_sites,7,223.0,223,223
sm2_pr_best_lat_min_sites,7,223.0,223,223
sm2_pr_closest_max_sites,7,153.6,115,189
sm2_pr_best_lat_max_sites,7,153.3,115,189
sm2_pr_milp_max_sites,7,141.9,100,180
sm2_pr_closest_min_sites,9,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,9,0.0,0.0,0.0
sm2_pr_closest_max_sites,9,195.62,160,248
sm2_pr_best_lat_max_sites,9,192.78,160,248
sm2_pr_milp_max_sites,9,187.0,150,250
sm2_pr_closest_min_sites,11,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,11,0.0,0.0,0.0
sm2_pr_closest_max_sites,11,221.5,193,250
sm2_pr_best_lat_max_sites,11,223.11,193,250
sm2_pr_milp_max_sites,11,202.1,166,241
sm2_pr_closest_min_sites,13,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,13,0.0,0.0,0.0
sm2_pr_closest_max_sites,13,241.88,213,287
sm2_pr_best_lat_max_sites,13,246.29,220,290
sm2_pr_milp_max_sites,13,229.2,201,278
sm2_pr_closest_min_sites,15,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,15,0.0,0.0,0.0
sm2_pr_closest_max_sites,15,266.33,246,283
sm2_pr_best_lat_max_sites,15,265.75,246,283
sm2_pr_milp_max_sites,15,232.4,190,264
sm2_pr_closest_min_sites,20,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,20,0.0,0.0,0.0
sm2_pr_closest_max_sites,20,276.0,267,292
sm2_pr_best_lat_max_sites,20,273.0,273,273
sm2_pr_milp_max_sites,20,267.3,253,279
