algo_name,number_of_apps,Avg,Min,Max
sm2_round_robin_min_sites,3,0.18,0.13,0.29
sm2_closest_min_sites,3,1.81,0.44,7.96
sm2_best_lat_min_sites,3,227.12,64.19,394.66
sm2_round_robin_max_sites,3,0.13,0.11,0.2
sm2_closest_max_sites,3,0.53,0.39,0.63
sm2_best_lat_max_sites,3,35.77,15.89,88.43
sm2_closest_max_sites_meet_lat,3,19.29,13.14,40.22
sm2_best_lat_max_sites_meet_lat,3,94.4,31.66,194.78
sm2_milp_max_sites,3,2619.58,1481.29,6548.01
sm2_round_robin_min_sites,5,0.26,0.18,0.36
sm2_closest_min_sites,5,1.19,0.78,3.55
sm2_best_lat_min_sites,5,307.76,119.42,497.57
sm2_round_robin_max_sites,5,0.2,0.16,0.29
sm2_closest_max_sites,5,0.95,0.74,1.39
sm2_best_lat_max_sites,5,58.56,26.34,132.47
sm2_closest_max_sites_meet_lat,5,37.63,26.47,47.57
sm2_best_lat_max_sites_meet_lat,5,314.85,65.84,788.17
sm2_milp_max_sites,5,5483.7,3126.88,10757.08
sm2_round_robin_min_sites,7,0.4,0.34,0.46
sm2_closest_min_sites,7,1.23,0.97,1.51
sm2_best_lat_min_sites,7,591.19,447.18,770.64
sm2_round_robin_max_sites,7,0.3,0.24,0.42
sm2_closest_max_sites,7,1.15,0.93,1.38
sm2_best_lat_max_sites,7,54.45,36.64,113.89
sm2_closest_max_sites_meet_lat,7,51.79,35.76,71.95
sm2_best_lat_max_sites_meet_lat,7,324.98,85.61,1264.68
sm2_milp_max_sites,7,16175.84,4064.06,100663.02
sm2_round_robin_min_sites,9,0.51,0.42,0.64
sm2_closest_min_sites,9,2.36,1.46,8.66
sm2_best_lat_min_sites,9,726.49,384.31,994.31
sm2_round_robin_max_sites,9,0.4,0.33,0.52
sm2_closest_max_sites,9,1.52,1.34,1.75
sm2_best_lat_max_sites,9,82.48,47.56,134.27
sm2_closest_max_sites_meet_lat,9,63.56,47.84,79.51
sm2_best_lat_max_sites_meet_lat,9,303.14,109.3,465.14
sm2_milp_max_sites,9,9131.75,5924.79,12549.13
sm2_round_robin_min_sites,11,0.65,0.51,1.02
sm2_closest_min_sites,11,2.06,1.82,2.36
sm2_best_lat_min_sites,11,775.49,568.16,1036.65
sm2_round_robin_max_sites,11,0.49,0.41,0.66
sm2_closest_max_sites,11,1.98,1.67,2.26
sm2_best_lat_max_sites,11,106.17,59.21,133.57
sm2_closest_max_sites_meet_lat,11,79.63,60.32,106.78
sm2_best_lat_max_sites_meet_lat,11,462.21,283.42,1075.23
sm2_milp_max_sites,11,11973.78,6697.78,17464.86
sm2_round_robin_min_sites,13,0.73,0.61,0.89
sm2_closest_min_sites,13,2.66,2.23,4.38
sm2_best_lat_min_sites,13,1100.05,736.83,1760.83
sm2_round_robin_max_sites,13,0.6,0.52,0.73
sm2_closest_max_sites,13,2.22,1.97,2.44
sm2_best_lat_max_sites,13,128.8,71.17,186.65
sm2_closest_max_sites_meet_lat,13,98.04,73.7,131.84
sm2_best_lat_max_sites_meet_lat,13,542.83,184.76,1165.3
sm2_milp_max_sites,13,15835.06,11016.62,24567.33
sm2_round_robin_min_sites,15,1.29,0.63,2.43
sm2_closest_min_sites,15,3.59,2.28,11.88
sm2_best_lat_min_sites,15,1118.74,717.87,1578.08
sm2_round_robin_max_sites,15,0.74,0.67,0.88
sm2_closest_max_sites,15,2.55,2.28,2.8
sm2_best_lat_max_sites,15,154.78,94.12,199.37
sm2_closest_max_sites_meet_lat,15,107.91,92.61,124.62
sm2_best_lat_max_sites_meet_lat,15,567.72,188.47,981.29
sm2_milp_max_sites,15,17737.47,14071.58,22786.13
sm2_round_robin_min_sites,20,0.87,0.64,1.96
sm2_closest_min_sites,20,3.51,2.8,5.47
sm2_best_lat_min_sites,20,1206.06,666.86,1431.45
sm2_round_robin_max_sites,20,1.22,1.04,2.37
sm2_closest_max_sites,20,3.76,3.32,4.78
sm2_best_lat_max_sites,20,193.44,119.82,253.16
sm2_closest_max_sites_meet_lat,20,154.75,133.55,184.96
sm2_best_lat_max_sites_meet_lat,20,999.02,554.61,1693.37
sm2_milp_max_sites,20,32568.25,24503.35,42321.65
sm2_round_robin_min_sites,30,0.92,0.82,1.03
sm2_closest_min_sites,30,3.94,3.4,5.52
sm2_best_lat_min_sites,30,1055.59,541.4,1336.05
sm2_round_robin_max_sites,30,1.36,1.06,3.26
sm2_closest_max_sites,30,5.1,4.62,7.17
sm2_best_lat_max_sites,30,285.52,202.28,412.12
sm2_closest_max_sites_meet_lat,30,212.47,179.42,231.01
sm2_best_lat_max_sites_meet_lat,30,1292.81,869.78,1630.47
sm2_milp_max_sites,30,50437.12,42433.8,59069.45
