algo_name,number_of_apps,Avg,Min,Max
sm2_pr_closest_min_sites,3,1.0,1,1
sm2_pr_best_lat_min_sites,3,1.0,1,1
sm2_pr_closest_max_sites,3,1.0,1,1
sm2_pr_best_lat_max_sites,3,1.0,1,1
sm2_pr_milp_max_sites,3,1.0,1,1
sm2_pr_closest_min_sites,5,1.0,1,1
sm2_pr_best_lat_min_sites,5,1.0,1,1
sm2_pr_closest_max_sites,5,1.0,1,1
sm2_pr_best_lat_max_sites,5,1.0,1,1
sm2_pr_milp_max_sites,5,1.0,1,1
sm2_pr_closest_min_sites,7,1.0,1,1
sm2_pr_best_lat_min_sites,7,1.0,1,1
sm2_pr_closest_max_sites,7,1.0,1,1
sm2_pr_best_lat_max_sites,7,1.0,1,1
sm2_pr_milp_max_sites,7,1.0,1,1
sm2_pr_closest_min_sites,9,1.0,1,1
sm2_pr_best_lat_min_sites,9,1.0,1,1
sm2_pr_closest_max_sites,9,1.0,1,1
sm2_pr_best_lat_max_sites,9,1.0,1,1
sm2_pr_milp_max_sites,9,1.0,1,1
sm2_pr_closest_min_sites,11,1.0,1,1
sm2_pr_best_lat_min_sites,11,1.0,1,1
sm2_pr_closest_max_sites,11,1.0,1,1
sm2_pr_best_lat_max_sites,11,1.0,1,1
sm2_pr_milp_max_sites,11,1.0,1,1
sm2_pr_closest_min_sites,13,1.0,1,1
sm2_pr_best_lat_min_sites,13,1.0,1,1
sm2_pr_closest_max_sites,13,1.0,1,1
sm2_pr_best_lat_max_sites,13,1.0,1,1
sm2_pr_milp_max_sites,13,1.0,1,1
sm2_pr_closest_min_sites,15,1.0,1,1
sm2_pr_best_lat_min_sites,15,1.0,1,1
sm2_pr_closest_max_sites,15,1.0,1,1
sm2_pr_best_lat_max_sites,15,1.0,1,1
sm2_pr_milp_max_sites,15,1.0,1,1
sm2_pr_closest_min_sites,20,1.0,1,1
sm2_pr_best_lat_min_sites,20,1.0,1,1
sm2_pr_closest_max_sites,20,1.0,1,1
sm2_pr_best_lat_max_sites,20,1.0,1,1
sm2_pr_milp_max_sites,20,1.0,1,1
