algo_name,number_of_apps,Avg,Min,Max
sm2_round_robin_min_sites,3,3.0,3,3
sm2_closest_min_sites,3,3.0,3,3
sm2_best_lat_min_sites,3,3.0,3,3
sm2_round_robin_max_sites,3,3.0,3,3
sm2_closest_max_sites,3,3.0,3,3
sm2_best_lat_max_sites,3,3.0,3,3
sm2_closest_max_sites_meet_lat,3,3.0,3,3
sm2_best_lat_max_sites_meet_lat,3,3.0,3,3
sm2_milp_max_sites,3,3.0,3,3
sm2_round_robin_min_sites,5,5.0,5,5
sm2_closest_min_sites,5,5.0,5,5
sm2_best_lat_min_sites,5,5.0,5,5
sm2_round_robin_max_sites,5,5.0,5,5
sm2_closest_max_sites,5,5.0,5,5
sm2_best_lat_max_sites,5,5.0,5,5
sm2_closest_max_sites_meet_lat,5,4.9,4,5
sm2_best_lat_max_sites_meet_lat,5,5.0,5,5
sm2_milp_max_sites,5,5.0,5,5
sm2_round_robin_min_sites,7,7.0,7,7
sm2_closest_min_sites,7,7.0,7,7
sm2_best_lat_min_sites,7,7.0,7,7
sm2_round_robin_max_sites,7,7.0,7,7
sm2_closest_max_sites,7,7.0,7,7
sm2_best_lat_max_sites,7,7.0,7,7
sm2_closest_max_sites_meet_lat,7,7.0,7,7
sm2_best_lat_max_sites_meet_lat,7,7.0,7,7
sm2_milp_max_sites,7,7.0,7,7
sm2_round_robin_min_sites,9,9.0,9,9
sm2_closest_min_sites,9,9.0,9,9
sm2_best_lat_min_sites,9,9.0,9,9
sm2_round_robin_max_sites,9,9.0,9,9
sm2_closest_max_sites,9,9.0,9,9
sm2_best_lat_max_sites,9,9.0,9,9
sm2_closest_max_sites_meet_lat,9,8.9,8,9
sm2_best_lat_max_sites_meet_lat,9,9.0,9,9
sm2_milp_max_sites,9,9.0,9,9
sm2_round_robin_min_sites,11,11.0,11,11
sm2_closest_min_sites,11,10.89,10,11
sm2_best_lat_min_sites,11,10.9,10,11
sm2_round_robin_max_sites,11,0.0,0.0,0.0
sm2_closest_max_sites,11,0.0,0.0,0.0
sm2_best_lat_max_sites,11,0.0,0.0,0.0
sm2_closest_max_sites_meet_lat,11,10.9,10,11
sm2_best_lat_max_sites_meet_lat,11,11.0,11,11
sm2_milp_max_sites,11,11.0,11,11
sm2_round_robin_min_sites,13,13.0,13,13
sm2_closest_min_sites,13,13.0,13,13
sm2_best_lat_min_sites,13,12.89,12,13
sm2_round_robin_max_sites,13,13.0,13,13
sm2_closest_max_sites,13,13.0,13,13
sm2_best_lat_max_sites,13,13.0,13,13
sm2_closest_max_sites_meet_lat,13,12.8,12,13
sm2_best_lat_max_sites_meet_lat,13,12.9,12,13
sm2_milp_max_sites,13,12.9,12,13
sm2_round_robin_min_sites,15,15.0,15,15
sm2_closest_min_sites,15,14.75,14,15
sm2_best_lat_min_sites,15,14.5,14,15
sm2_round_robin_max_sites,15,15.0,15,15
sm2_closest_max_sites,15,15.0,15,15
sm2_best_lat_max_sites,15,15.0,15,15
sm2_closest_max_sites_meet_lat,15,14.7,13,15
sm2_best_lat_max_sites_meet_lat,15,15.0,15,15
sm2_milp_max_sites,15,15.0,15,15
sm2_round_robin_min_sites,20,19.5,19,20
sm2_closest_min_sites,20,19.33,18,20
sm2_best_lat_min_sites,20,19.0,18,20
sm2_round_robin_max_sites,20,0.0,0.0,0.0
sm2_closest_max_sites,20,0.0,0.0,0.0
sm2_best_lat_max_sites,20,0.0,0.0,0.0
sm2_closest_max_sites_meet_lat,20,19.6,19,20
sm2_best_lat_max_sites_meet_lat,20,19.9,19,20
sm2_milp_max_sites,20,19.9,19,20
sm2_round_robin_min_sites,30,28.5,28,29
sm2_closest_min_sites,30,25.75,23,27
sm2_best_lat_min_sites,30,22.89,20,26
sm2_round_robin_max_sites,30,0.0,0.0,0.0
sm2_closest_max_sites,30,0.0,0.0,0.0
sm2_best_lat_max_sites,30,0.0,0.0,0.0
sm2_closest_max_sites_meet_lat,30,29.7,28,30
sm2_best_lat_max_sites_meet_lat,30,29.9,29,30
sm2_milp_max_sites,30,29.9,29,30
