algo_name,number_of_apps,Avg,Min,Max
sm2_round_robin_min_sites,3,82.11,54,94
sm2_closest_min_sites,3,62.2,33,81
sm2_best_lat_min_sites,3,58.6,33,81
sm2_round_robin_max_sites,3,23.14,18,27
sm2_closest_max_sites,3,23.14,18,27
sm2_best_lat_max_sites,3,23.14,18,27
sm2_closest_max_sites_meet_lat,3,22.2,18,27
sm2_best_lat_max_sites_meet_lat,3,21.6,18,27
sm2_milp_max_sites,3,21.4,17,27
sm2_round_robin_min_sites,5,95.5,72,115
sm2_closest_min_sites,5,87.11,66,109
sm2_best_lat_min_sites,5,83.1,54,100
sm2_round_robin_max_sites,5,38.33,25,54
sm2_closest_max_sites,5,38.33,25,54
sm2_best_lat_max_sites,5,38.67,26,54
sm2_closest_max_sites_meet_lat,5,43.11,25,71
sm2_best_lat_max_sites_meet_lat,5,48.0,26,88
sm2_milp_max_sites,5,42.6,18,88
sm2_round_robin_min_sites,7,109.29,88,125
sm2_closest_min_sites,7,120.3,87,151
sm2_best_lat_min_sites,7,117.9,85,142
sm2_round_robin_max_sites,7,48.6,36,54
sm2_closest_max_sites,7,48.6,36,54
sm2_best_lat_max_sites,7,48.6,36,54
sm2_closest_max_sites_meet_lat,7,50.7,36,59
sm2_best_lat_max_sites_meet_lat,7,49.9,36,59
sm2_milp_max_sites,7,42.1,30,57
sm2_round_robin_min_sites,9,137.2,117,162
sm2_closest_min_sites,9,140.0,120,168
sm2_best_lat_min_sites,9,130.6,100,158
sm2_round_robin_max_sites,9,57.0,54,63
sm2_closest_max_sites,9,57.0,54,63
sm2_best_lat_max_sites,9,57.0,54,63
sm2_closest_max_sites_meet_lat,9,67.44,45,106
sm2_best_lat_max_sites_meet_lat,9,64.7,45,107
sm2_milp_max_sites,9,57.1,42,88
sm2_round_robin_min_sites,11,149.83,123,182
sm2_closest_min_sites,11,146.0,120,175
sm2_best_lat_min_sites,11,139.0,120,168
sm2_round_robin_max_sites,11,0.0,0.0,0.0
sm2_closest_max_sites,11,0.0,0.0,0.0
sm2_best_lat_max_sites,11,0.0,0.0,0.0
sm2_closest_max_sites_meet_lat,11,72.0,54,113
sm2_best_lat_max_sites_meet_lat,11,73.5,54,113
sm2_milp_max_sites,11,61.6,47,89
sm2_round_robin_min_sites,13,165.5,150,195
sm2_closest_min_sites,13,167.38,144,196
sm2_best_lat_min_sites,13,159.12,146,181
sm2_round_robin_max_sites,13,63.0,63,63
sm2_closest_max_sites,13,63.0,63,63
sm2_best_lat_max_sites,13,63.0,63,63
sm2_closest_max_sites_meet_lat,13,78.22,61,95
sm2_best_lat_max_sites_meet_lat,13,79.9,61,105
sm2_milp_max_sites,13,68.6,54,103
sm2_round_robin_min_sites,15,185.0,144,211
sm2_closest_min_sites,15,176.67,136,206
sm2_best_lat_min_sites,15,172.4,132,205
sm2_round_robin_max_sites,15,90.0,90,90
sm2_closest_max_sites,15,90.0,90,90
sm2_best_lat_max_sites,15,90.0,90,90
sm2_closest_max_sites_meet_lat,15,93.38,70,158
sm2_best_lat_max_sites_meet_lat,15,99.9,68,156
sm2_milp_max_sites,15,82.8,56,124
sm2_round_robin_min_sites,20,255.0,255,255
sm2_closest_min_sites,20,227.67,220,237
sm2_best_lat_min_sites,20,209.67,205,213
sm2_round_robin_max_sites,20,0.0,0.0,0.0
sm2_closest_max_sites,20,0.0,0.0,0.0
sm2_best_lat_max_sites,20,0.0,0.0,0.0
sm2_closest_max_sites_meet_lat,20,110.86,91,123
sm2_best_lat_max_sites_meet_lat,20,116.4,86,164
sm2_milp_max_sites,20,101.7,75,139
sm2_round_robin_min_sites,30,0.0,0.0,0.0
sm2_closest_min_sites,30,0.0,0.0,0.0
sm2_best_lat_min_sites,30,0.0,0.0,0.0
sm2_round_robin_max_sites,30,0.0,0.0,0.0
sm2_closest_max_sites,30,0.0,0.0,0.0
sm2_best_lat_max_sites,30,0.0,0.0,0.0
sm2_closest_max_sites_meet_lat,30,174.0,148,231
sm2_best_lat_max_sites_meet_lat,30,173.1,148,226
sm2_milp_max_sites,30,149.5,123,179
